OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
2992,2015/02/11 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,58
2993,2015/02/12 16:00:00+00,CA,Centro,O3,Boa,42
2994,2015/02/12 16:00:00+00,AV,Copacabana,PI,Regular,55
2995,2015/02/12 16:00:00+00,SC,São Cristóvão,O3,Regular,59
2996,2015/02/12 16:00:00+00,SP,Tijuca,O3,Regular,72
2997,2015/02/12 16:00:00+00,IR,Irajá,O3,Regular,59
2998,2015/02/12 16:00:00+00,BG,Bangu,O3,Regular,64
2999,2015/02/12 16:00:00+00,CG,Campo Grande,PI,Boa,42
3000,2015/02/12 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,71
3001,2015/02/13 16:00:00+00,CA,Centro,O3,Regular,72
3002,2015/02/13 16:00:00+00,AV,Copacabana,PI,Regular,58
3003,2015/02/13 16:00:00+00,SC,São Cristóvão,O3,Regular,92
3004,2015/02/13 16:00:00+00,SP,Tijuca,O3,Regular,94
3005,2015/02/13 16:00:00+00,IR,Irajá,O3,Inadequada,113
3006,2015/02/13 16:00:00+00,BG,Bangu,O3,Regular,76
3007,2015/02/13 16:00:00+00,CG,Campo Grande,O3,Boa,41
3008,2015/02/13 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,62
3009,2015/02/14 16:00:00+00,CA,Centro,O3,Regular,58
3010,2015/02/14 16:00:00+00,AV,Copacabana,O3,Boa,50
3011,2015/02/14 16:00:00+00,SC,São Cristóvão,O3,Regular,99
3012,2015/02/14 16:00:00+00,SP,Tijuca,O3,Regular,70
3013,2015/02/14 16:00:00+00,IR,Irajá,O3,Regular,92
3014,2015/02/14 16:00:00+00,BG,Bangu,O3,Regular,65
3015,2015/02/14 16:00:00+00,CG,Campo Grande,O3,Boa,47
3016,2015/02/14 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,54
3017,2015/02/15 16:00:00+00,CA,Centro,O3,Regular,71
3018,2015/02/15 16:00:00+00,AV,Copacabana,O3,Boa,44
3019,2015/02/15 16:00:00+00,SC,São Cristóvão,O3,Regular,77
3020,2015/02/15 16:00:00+00,SP,Tijuca,O3,Regular,85
3021,2015/02/15 16:00:00+00,IR,Irajá,O3,Regular,100
3022,2015/02/15 16:00:00+00,BG,Bangu,O3,Regular,70
3023,2015/02/15 16:00:00+00,CG,Campo Grande,O3,Boa,34
3024,2015/02/15 16:00:00+00,PG,Pedra de Guaratiba,O3,Regular,64
3025,2015/02/16 16:00:00+00,CA,Centro,O3,Regular,55
3026,2015/02/16 16:00:00+00,AV,Copacabana,O3,Boa,42
3027,2015/02/16 16:00:00+00,SC,São Cristóvão,O3,Regular,63
3028,2015/02/16 16:00:00+00,SP,Tijuca,O3,Regular,61
3029,2015/02/16 16:00:00+00,IR,Irajá,O3,Regular,72
3030,2015/02/16 16:00:00+00,BG,Bangu,O3,Boa,50
